Timestamp,Temperature(°C),Temperature(°F)
2026-07-15 14:29:14,25.00,77.00
2026-07-15 14:29:16,25.06,77.11
2026-07-15 14:29:17,25.00,77.00
2026-07-15 14:29:19,25.00,77.00
2026-07-15 14:29:21,25.12,77.22
2026-07-15 14:29:23,25.44,77.79
2026-07-15 14:29:25,25.94,78.69
2026-07-15 14:29:26,26.25,79.25
2026-07-15 14:29:28,26.56,79.81
2026-07-15 14:29:30,26.88,80.38
2026-07-15 14:29:32,27.19,80.94
2026-07-15 14:29:34,27.56,81.61
2026-07-15 14:29:35,27.81,82.06
2026-07-15 14:29:37,28.06,82.51
2026-07-15 14:29:39,28.31,82.96
2026-07-15 14:29:41,28.50,83.30
2026-07-15 14:29:43,28.62,83.53
2026-07-15 14:29:44,28.81,83.86
2026-07-15 14:29:46,28.88,83.97
2026-07-15 14:29:48,29.00,84.20
2026-07-15 14:29:50,29.12,84.42
2026-07-15 14:29:52,29.25,84.65
2026-07-15 14:29:53,29.31,84.76
2026-07-15 14:29:55,29.44,84.99
2026-07-15 14:29:57,29.44,84.99
2026-07-15 14:29:59,29.44,84.99
2026-07-15 14:30:00,29.50,85.10
2026-07-15 14:30:02,29.62,85.33
2026-07-15 14:30:04,29.69,85.44
2026-07-15 14:30:06,29.75,85.55
2026-07-15 14:30:08,29.75,85.55
2026-07-15 14:30:09,29.62,85.33
2026-07-15 14:30:11,29.44,84.99
2026-07-15 14:30:13,29.25,84.65
2026-07-15 14:30:15,29.06,84.31
2026-07-15 14:30:17,28.81,83.86
2026-07-15 14:30:18,28.69,83.64
2026-07-15 14:30:20,28.50,83.30
2026-07-15 14:30:22,28.38,83.08
2026-07-15 14:30:24,28.25,82.85
2026-07-15 14:30:26,28.19,82.74
2026-07-15 14:30:27,28.12,82.62
2026-07-15 14:30:29,28.12,82.62
2026-07-15 14:30:31,28.06,82.51
2026-07-15 14:30:33,28.06,82.51
2026-07-15 14:30:35,28.06,82.51
2026-07-15 14:30:36,28.06,82.51
2026-07-15 14:30:38,28.06,82.51
2026-07-15 14:30:40,28.06,82.51
2026-07-15 14:30:42,28.06,82.51
2026-07-15 14:30:43,28.06,82.51
2026-07-15 14:30:45,28.00,82.40
2026-07-15 14:30:47,28.06,82.51
2026-07-15 14:30:49,28.06,82.51
2026-07-15 14:30:51,28.06,82.51
2026-07-15 14:30:52,28.06,82.51
2026-07-15 14:30:54,28.06,82.51
2026-07-15 14:30:56,28.06,82.51
2026-07-15 14:30:58,28.06,82.51
2026-07-15 14:31:00,28.00,82.40
2026-07-15 14:31:01,28.06,82.51
